2020 명작 동화 리메이크판,6,,추천인간,,우리에게 익숙한 고전 명작 동화들. 그 동화들,우리에게 익숙한 고전 명작 동화들. 그 동화들의 2020 판을 본다면 어떤 느낌 일까? 잔혹동화 라기에는 잔혹하지 않고 순수동화 라고 하기에는 순수하지 않은 2020 버전을 만나보자!,http://cf.joara.com/literature_file/20201210_0143348485.jpg_thumb.png,http://cf.joara.com/literature_file/20201210_0143348485.jpg_thumb.png,Y
러시아 영웅 전설,6,,마오안찐뚱,,1837년 9월 11일 모스크바“하아.... ,"1837년 9월 11일 모스크바“하아.... 이게 도대체 어떤...”1837년 초가을, 슬슬 추워지기 시작하던 한 호화스러운 궁전에서 한 사람이 절규했다,“내가... 내가 러시아 제국의 황제라니!!”그 절규와 함께 제정 러시아의 11대 차르이자 21세기 출신 빙의자인 니콜라이 1세의 ..",http://cf.joara.com/literature_file/20201208_1828299573.png_thumb.png,http://cf.joara.com/literature_file/20201208_1828299573.png_thumb.png,Y
전쟁과 사랑(소설 2차 세계대전),6,,세상진실을알려준다,,2차 세계대전... 인류 최고의 불지옥이었던 ,2차 세계대전... 인류 최고의 불지옥이었던 그 상황 중에서도 아름답게 피어나는 남녀간의 사랑을 소개한다. 지금 이 나라 사람들은 지독한 편견(연합군은 무조건 옳고 추축군은 무조건 나쁘다. 혹은 조국을 위한 일은 무조건 좋은 일이다] 라는 사고방식에 빠져서 억지를 부리는 자들..,http://cf.joara.com/literature_file/cover_file/20190401_122747.jpg,http://cf.joara.com/literature_file/cover_file/20190401_122747.jpg,Y
귀(鬼)의 노래,6,,동온,,프롤로그한 허름한 초가집. 그곳에서 낡은 무명,"프롤로그한 허름한 초가집. 그곳에서 낡은 무명옷을 입은 여인이 부엌에서 밥을 짓고 있었다.가마솥 뚜껑을 들어 올린 여인은 하얀 밥 연기 사이로 고슬고슬 잘 지어진 밥을 주걱으로 이리저리 뒤적였다. ""아이고~ 밥 잘지어 졌네. 그나저나... 이놈의 서방하고 딸래미..",http://cf.joara.com/literature_file/merge/2020/12/16073576033692.jpg,http://cf.joara.com/literature_file/merge/2020/12/16073576033692.jpg,Y
[인공]마술사,6,,zㅣoㅏ,,세계관 [인공]의 특정 기술인 인간과 동물간의,"세계관 [인공]의 특정 기술인 인간과 동물간의 링크 기술을 주 배경으로 한 소설입니다.2부작으로 구성되어 있으며, 현재 보고 계신 글은 1부입니다.스토리 : zia  /  작화 : SuRang",http://cf.joara.com/literature_file/20201122_1009116733.jpg_thumb.png,http://cf.joara.com/literature_file/20201122_1009116733.jpg_thumb.png,Y
심연의 4주(Four Weeks),6,,J의이야기,,이 이야기는 가상의 현실 세계를 바탕으로 한 ,"이 이야기는 가상의 현실 세계를 바탕으로 한 순수 좀비물입니다.작가가 출간을 위해 연습하는 공간으로, 선추코는 바라지 않습니다. 그저, 피드백을 위해 습작을 하지 않았을 뿐입니다.",http://cf.joara.com/literature_file/cover_file/20190401_122732.jpg,http://cf.joara.com/literature_file/cover_file/20190401_122732.jpg,Y
허구원정 : 도원경을 향하여,6,,나비밤,,신하대학교 방송연기과 2학년 도원경. 인터넷 ,"신하대학교 방송연기과 2학년 도원경. 인터넷 추리&nbsp;소설에 빠져지내다가, 정말로 소설 속 탐정이 된다.",http://cf.joara.com/literature_file/20201209_2323531078.jpg_thumb.png,http://cf.joara.com/literature_file/20201209_2323531078.jpg_thumb.png,Y
INFP의 상상,6,,garain,,이 중에 하나는 마음에 드시는 게 있겠죠단편집,이 중에 하나는 마음에 드시는 게 있겠죠단편집01. 숲의 신사,http://cf.joara.com/literature_file/20201207_2122164365.jpg_thumb.png,http://cf.joara.com/literature_file/20201207_2122164365.jpg_thumb.png,Y
Infection Of World,6,,얼과,,﻿아키노와 하루의 비밀 연구소에서의 돌발 사건,"﻿아키노와 하루의 비밀 연구소에서의 돌발 사건으로 시작한 전세계적 팬데믹. 그리고 그 팬데믹 속 인간 본질의 드러남, 마지막으로 인간들 사이의 끊임없는 사투와 갈등, 분쟁.절대적인 영웅은 없으며, 또 절대적인 악당이란 없다.선과 악의 대립이 아닌, 그저 방식이 다른..",http://cf.joara.com/literature_file/20201207_1856343187.jpg_thumb.png,http://cf.joara.com/literature_file/20201207_1856343187.jpg_thumb.png,Y
비밀 친구,6,,Arisi,, 세상에 들리는 음악을 다른 사람에게 알리기 ," 세상에 들리는 음악을 다른 사람에게 알리기 위해 노래를 만드는 주인공. 자신이 가장 좋아하는 노래 부르는 인터넷 방송인이 세계 최고의 가수인 여주인공과 근거 없는 비교를 당하며 욕을 먹자, 똑같은 방법으로 반격을 한다. 별일 있겠냐는 생각이었지만, 큰일이 난다. 그렇게 잘 안다..",http://cf.joara.com/literature_file/merge/2020/11/16042380723234.jpg,http://cf.joara.com/literature_file/merge/2020/11/16042380723234.jpg,Y
그럼에도 불구하고,6,,여로선,,아직 어렸을 때였으니까. 4년 정도는 족히 지,아직 어렸을 때였으니까. 4년 정도는 족히 지났으니까. 만나도 괜찮을 줄 알았다. 아무렇지 않을 자신이 있었다. 그럼에도 불구하고 나는 여전히 끌려다녔고그럼에도 불구하고 밀어내고 싶지 않았다. ,http://cf.joara.com/literature_file/cover_file/20190329_154704.jpg,http://cf.joara.com/literature_file/cover_file/20190329_154704.jpg,Y
엘리시온의 영원,6,,양요미,,내가 영인이라고??뜬금없이 귀신...아니 천사,내가 영인이라고??뜬금없이 귀신...아니 천사가 나타나더니내가 얼음의 능력을 받았다나 뭐라나좌충우돌 천사와 악마의 싸움에 내가 끼어들어도 될지!!!,http://cf.joara.com/literature_file/20180712_102521.jpg_thumb.png,http://cf.joara.com/literature_file/20180712_102521.jpg_thumb.png,Y
페르소나,6,,댕댕20,,"각기 다른 가면을 쓰고 살아가는 사람들,그 중","각기 다른 가면을 쓰고 살아가는 사람들,그 중 한명인 이중인격자'솔아'와 소시오패스'수현'의 협력과 배신을 오가는 달콤살벌 로맨스!이 질긴 운명적인 악연의 끝은?",http://cf.joara.com/literature_file/1760715_1607250191_thumb.PNG,http://cf.joara.com/literature_file/1760715_1607250191_thumb.PNG,Y
무제(無題)1,6,,Gns771,,란(卵)이야기,란(卵)이야기,http://cf.joara.com/literature_file/merge/2020/12/16072008284151.jpg,http://cf.joara.com/literature_file/merge/2020/12/16072008284151.jpg,Y
[얀데레] 집착어린 사랑,6,,Eojin,,얀데레 위주 단편들입니다.망상들 풀어놓는 거라,얀데레 위주 단편들입니다.망상들 풀어놓는 거라 비정기 연재입니다.,http://cf.joara.com/literature_file/1746500_1606539089_thumb.jpeg,http://cf.joara.com/literature_file/1746500_1606539089_thumb.jpeg,Y
괴물,6,,연구원씨,,"괴물 - 이해할 수 없고, 이해받기를 원하지 ","괴물 - 이해할 수 없고, 이해받기를 원하지 않는 것. 괴물 - 자신의 즐거움을 위해 타인에게 피해를 주고도 가책이 없는 것.괴물 - ?--------------------------------------------기획서가 나올 수 있는 이야기가 아니라서 올리는 소설입니다.연락 기다리겠습니다.",http://cf.joara.com/literature_file/merge/2020/09/16005746928712.jpg,http://cf.joara.com/literature_file/merge/2020/09/16005746928712.jpg,Y
서울 메트로 2033,6,,ArtyomDark,,2013년. 전 세계가 핵전쟁으로 폐허가 되어,"2013년. 전 세계가 핵전쟁으로 폐허가 되어버렸다. 정부들과 대도시들은 이미 자취를 감춘 지 오래고, 인류는 대부분 사라졌다. 사람들은 유일한 안식처인 지하 메트로에서 근근히 연명해 가고 있다. 그리고 2033년 지금, 서울 메트로 한복판에서 생존자들의 삶을 위한 처절한 투쟁이 ..",http://cf.joara.com/literature_file/20200216_000135.JPG_thumb.png,http://cf.joara.com/literature_file/20200216_000135.JPG_thumb.png,Y
나는 아무것도 하지 않았다,6,,친해요,,"내겐 수필, 누군가에겐 소설","내겐 수필, 누군가에겐 소설",http://cf.joara.com/literature_file/cover_file/20190401_122503.jpg,http://cf.joara.com/literature_file/cover_file/20190401_122503.jpg,Y
그냥 생각난거 적어본거,6,,토이리즌,,그냥 생각난것 적어본것 입니다욕하든 말든 상관,그냥 생각난것 적어본것 입니다욕하든 말든 상관 안쓰겠습니다 ,http://cf.joara.com/literature_file/cover_file/20190401_122503.jpg,http://cf.joara.com/literature_file/cover_file/20190401_122503.jpg,Y
[데스노트] 모든 L,6,,우유짜응,,2부의 시작을 알리는 종소리가 울린다. 노트의,2부의 시작을 알리는 종소리가 울린다. 노트의 효력을 없앤 레이코.노트의 존재를 없앨수 있었으나 존재여부를 없애지 않고 그대로 놔둔다. 야가미 라이코는 자신이 노트를 사용한 기억은 남아 있는채 지내고 있다.1부재벌인 쿠로가의 장녀인 쿠로 레이코는 같은반 ..,http://cf.joara.com/literature_file/20201109_2216012667.PNG_thumb.png,http://cf.joara.com/literature_file/20201109_2216012667.PNG_thumb.png,Y
광안대교,6,,22세기철학자,,.,.,http://cf.joara.com/literature_file/cover_file/20190401_122911.jpg,http://cf.joara.com/literature_file/cover_file/20190401_122911.jpg,Y
나는 널 좋아해.,6,,신일성,,단편 소설 연습.피드백 전부 다 수용하겠습니다,단편 소설 연습.피드백 전부 다 수용하겠습니다. 욕설이나 비난하는 글은 자제해주시면 감사하겠습니다. 많은 도움 부탁드리겠습니다. 노력하겠습니다. 잘 부탁드립니다!,http://cf.joara.com/literature_file/cover_file/20190408_102703.jpg,http://cf.joara.com/literature_file/cover_file/20190408_102703.jpg,Y
좋아하는 소설책 베껴쓰기,6,,킹투앙,,좋아하는 소설 책 베껴쓰기 입니다. 웹소설 쓰,좋아하는 소설 책 베껴쓰기 입니다. 웹소설 쓰기 위해 연습하고 있습니다.저작권 문제시 바로 삭제하겠습니다.[여자킬러이야기],http://cf.joara.com/literature_file/cover_file/20190408_102834.jpg,http://cf.joara.com/literature_file/cover_file/20190408_102834.jpg,Y
"살수, 평행세계에서 무쌍찍다",6,,미스릴의들판,,-표지의 저작권은 저와 강철혈님께 있습니다. ,"-표지의 저작권은 저와 강철혈님께 있습니다. 신고하지 말아주십시오.껴안는 베개 성애자입니다. 취존하시죠. 글쟁입니다. 작가 아닙니다.하르제가 세상을 뒤집을 무렵, 그 이전, 혹은 그 사이, 혹은 그 후. 세간에 애매하게 알려진 듯, 알려지지 않은 자들의 이야기.소문이 너..",http://cf.joara.com/literature_file/20161125_002504.PNG_thumb.png,http://cf.joara.com/literature_file/20161125_002504.PNG_thumb.png,Y
테스트,6,,엘켐,,대한성서공회,대한성서공회,http://cf.joara.com/literature_file/cover_file/20190401_122503.jpg,http://cf.joara.com/literature_file/cover_file/20190401_122503.jpg,Y
미육의 향기,6,,눈꼬,,내 친구는 성에 관해 너무나도 노골적이었다. ,내 친구는 성에 관해 너무나도 노골적이었다. 직업도 그랬다. 가까이 다가서기가 어려웠다. 싫기도 하면서도 싫어하지는 않았다. 그럴 수가 없었다.  친구와는 일주일에 한번씩은 만났다.  귀찮기도 하지만 거절하지도 못했다.  아마 싫지는 않기 때문일 것이다. 친구에겐 원하는 ..,http://cf.joara.com/literature_file/cover_file/20190408_102820.jpg,http://cf.joara.com/literature_file/cover_file/20190408_102820.jpg,Y
김갑주  관찰일기,6,,알으,,인생을 막힘없이 원하는대로 사는 김갑주. 그를,인생을 막힘없이 원하는대로 사는 김갑주. 그를 바라보는 시점.,http://cf.joara.com/literature_file/merge/2020/12/16069408120096.jpg,http://cf.joara.com/literature_file/merge/2020/12/16069408120096.jpg,Y
